aggfnoid,aggkind,aggsortop,aggfinalfn,agginitval,aggtransfn,aggmfinalfn,aggminitval,aggmtransfn,aggserialfn,aggcombinefn,aggtranstype,aggdeserialfn,aggfinalextra,aggmtranstype,aggtransspace,aggfinalmodify,aggmfinalextra,aggminvtransfn,aggmtransspace,aggmfinalmodify,aggnumdirectargs
pg_catalog.max,n,1073,-,NULL,array_larger,-,NULL,-,-,array_larger,2277,-,false,0,0,r,false,-,0,r,0
pg_catalog.min,n,1072,-,NULL,array_smaller,-,NULL,-,-,array_smaller,2277,-,false,0,0,r,false,-,0,r,0
pg_catalog.avg,n,0,numeric_poly_avg,NULL,int8_avg_accum,numeric_poly_avg,NULL,int8_avg_accum,int8_avg_serialize,int8_avg_combine,2281,int8_avg_deserialize,false,2281,48,r,false,int8_avg_accum_inv,48,r,0
pg_catalog.avg,n,0,int8_avg,"{0,0}",int4_avg_accum,int8_avg,"{0,0}",int4_avg_accum,-,int4_avg_combine,1016,-,false,1016,0,r,false,int4_avg_accum_inv,0,r,0
pg_catalog.avg,n,0,int8_avg,"{0,0}",int2_avg_accum,int8_avg,"{0,0}",int2_avg_accum,-,int4_avg_combine,1016,-,false,1016,0,r,false,int2_avg_accum_inv,0,r,0
pg_catalog.avg,n,0,numeric_avg,NULL,numeric_avg_accum,numeric_avg,NULL,numeric_avg_accum,numeric_avg_serialize,numeric_avg_combine,2281,numeric_avg_deserialize,false,2281,128,r,false,numeric_accum_inv,128,r,0
pg_catalog.avg,n,0,float8_avg,"{0,0,0}",float4_accum,-,NULL,-,-,float8_combine,1022,-,false,0,0,r,false,-,0,r,0
pg_catalog.avg,n,0,float8_avg,"{0,0,0}",float8_accum,-,NULL,-,-,float8_combine,1022,-,false,0,0,r,false,-,0,r,0
pg_catalog.avg,n,0,interval_avg,"{0 second,0 second}",interval_accum,interval_avg,"{0 second,0 second}",interval_accum,-,interval_combine,1187,-,false,1187,0,r,false,interval_accum_inv,0,r,0
pg_catalog.sum,n,0,numeric_poly_sum,NULL,int8_avg_accum,numeric_poly_sum,NULL,int8_avg_accum,int8_avg_serialize,int8_avg_combine,2281,int8_avg_deserialize,false,2281,48,r,false,int8_avg_accum_inv,48,r,0
pg_catalog.sum,n,0,-,NULL,int4_sum,int2int4_sum,"{0,0}",int4_avg_accum,-,int8pl,20,-,false,1016,0,r,false,int4_avg_accum_inv,0,r,0
pg_catalog.sum,n,0,-,NULL,int2_sum,int2int4_sum,"{0,0}",int2_avg_accum,-,int8pl,20,-,false,1016,0,r,false,int2_avg_accum_inv,0,r,0
pg_catalog.sum,n,0,-,NULL,float4pl,-,NULL,-,-,float4pl,700,-,false,0,0,r,false,-,0,r,0
pg_catalog.sum,n,0,-,NULL,float8pl,-,NULL,-,-,float8pl,701,-,false,0,0,r,false,-,0,r,0
pg_catalog.sum,n,0,-,NULL,cash_pl,-,NULL,cash_pl,-,cash_pl,790,-,false,790,0,r,false,cash_mi,0,r,0
pg_catalog.sum,n,0,-,NULL,interval_pl,-,NULL,interval_pl,-,interval_pl,1186,-,false,1186,0,r,false,interval_mi,0,r,0
pg_catalog.sum,n,0,numeric_sum,NULL,numeric_avg_accum,numeric_sum,NULL,numeric_avg_accum,numeric_avg_serialize,numeric_avg_combine,2281,numeric_avg_deserialize,false,2281,128,r,false,numeric_accum_inv,128,r,0
pg_catalog.max,n,413,-,NULL,int8larger,-,NULL,-,-,int8larger,20,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,521,-,NULL,int4larger,-,NULL,-,-,int4larger,23,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,520,-,NULL,int2larger,-,NULL,-,-,int2larger,21,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,610,-,NULL,oidlarger,-,NULL,-,-,oidlarger,26,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,623,-,NULL,float4larger,-,NULL,-,-,float4larger,700,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,674,-,NULL,float8larger,-,NULL,-,-,float8larger,701,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,563,-,NULL,int4larger,-,NULL,-,-,int4larger,702,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1097,-,NULL,date_larger,-,NULL,-,-,date_larger,1082,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1112,-,NULL,time_larger,-,NULL,-,-,time_larger,1083,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1554,-,NULL,timetz_larger,-,NULL,-,-,timetz_larger,1266,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,903,-,NULL,cashlarger,-,NULL,-,-,cashlarger,790,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,2064,-,NULL,timestamp_larger,-,NULL,-,-,timestamp_larger,1114,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1324,-,NULL,timestamptz_larger,-,NULL,-,-,timestamptz_larger,1184,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1334,-,NULL,interval_larger,-,NULL,-,-,interval_larger,1186,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,666,-,NULL,text_larger,-,NULL,-,-,text_larger,25,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1756,-,NULL,numeric_larger,-,NULL,-,-,numeric_larger,1700,-,false,0,0,r,false,-,0,r,0
pg_catalog.min,n,412,-,NULL,int8smaller,-,NULL,-,-,int8smaller,20,-,false,0,0,r,false,-,0,r,0
pg_catalog.min,n,97,-,NULL,int4smaller,-,NULL,-,-,int4smaller,23,-,false,0,0,r,false,-,0,r,0
